cert_code,cert_name,l1_category,l2_category,costing_use,description,performable_work,influence,license_type,evidence_type,license_grade,keywords,ministry,issuer
CERT-SAF-0005,KOLAS 평가사,안전환경,품질인증환경,"KOLAS 평가사 보유자는 KOLAS, 인정평가, 시험기관, 교정기관, ISO17025 기준으로 시험, 인증, 심사, 품질관리 활동에 필요한 인력과 비용 산정의 타당성을 검증할 수 있다.",KOLAS 인정제도와 ISO/IEC 17025 등 적합성평가 기준에 따른 평가 역량을 확인하는 자격이다.,"시험·교정기관의 인정 기준 적합성 평가, 품질문서 검토, 현장평가 업무를 수행할 수 있다.",4,민간,자격증,기타,"KOLAS, 인정평가, 시험기관, 교정기관, ISO17025",산업통상자원부,한국인정기구
CERT-BIZ-0016,M&A지도사,경영경제,경영컨설팅,"M&A지도사 보유자는 M&A, 기업가치평가, 실사, 인수합병, 컨설팅 분석으로 조직, 프로세스, 사업 운영 효율을 진단해 적정 투입인력과 관리비 산정 근거를 검토할 수 있다.","M&A 절차, 법무·세무·회계, 기업가치평가와 협상 실무를 다루는 민간 컨설팅 자격이다.","기업 인수·합병 검토, 실사 지원, 가치평가 자료 분석, 거래 구조와 협상 지원 업무를 수행할 수 있다.",3,민간,자격증,기타,"M&A, 기업가치평가, 실사, 인수합병, 컨설팅",산업통상자원부,(사)한국M&A컨설팅협회
CERT-BIZ-0004,PMP(Project Management Institute),경영경제,프로젝트관리,"PMP(Project Management Institute) 보유자는 PMP, PMI, 프로젝트관리, 애자일, 리스크관리 기준으로 범위, 일정, 위험, 인력 투입계획을 검토해 프로젝트 원가 산정의 타당성을 검증할 수 있다.","PMI가 운영하는 국제 프로젝트관리 자격으로 사람, 프로세스, 비즈니스 우선순위를 관리하는 역량을 검정한다.","프로젝트 착수·계획·실행·통제·종료, 이해관계자 관리, 일정·원가·위험 관리를 수행할 수 있다.",5,외국,자격증,기타,"PMP, PMI, 프로젝트관리, 애자일, 리스크관리",해당 없음(국제자격),미국 PMI
CERT-EDU-0002,R&A Level 2 Rules School,교육사무문화,스포츠레저,"R&A Level 2 Rules School 보유자는 골프규칙, R&A, 경기위원, 심판, 대회운영 운영 기준을 활용해 대회, 심판, 규칙교육, 현장 운영비 산정의 현실성과 필요성을 검토할 수 있다.","R&A 골프 규칙 교육 과정으로 골프 룰 적용, 판정 사례, 경기 운영 지식을 검정한다.","골프 경기 규칙 해석, 대회 운영 보조, 경기위원·심판 업무 지원을 수행할 수 있다.",3,민간,자격증,기타,"골프규칙, R&A, 경기위원, 심판, 대회운영",해당 없음(국제/스포츠교육),대한골프협회
CERT-IT-0003,SW프로세스품질인증심사원,IT데이터,IT소프트웨어,"SW프로세스품질인증심사원 보유자는 SW품질, 프로세스심사, SP인증, 품질개선, 소프트웨어공학 기준으로 개발공수, 기능범위, 유지보수 항목을 검토해 소프트웨어 원가 산정의 적정성을 판단할 수 있다.",SW 개발·관리 프로세스의 품질인증 기준과 심사 절차 이해를 평가하는 심사원 성격의 자격이다.,"소프트웨어 프로세스 품질 수준 평가, 개선 권고, 인증심사 자료 검토 업무를 수행할 수 있다.",4,민간,자격증,기타,"SW품질, 프로세스심사, SP인증, 품질개선, 소프트웨어공학",과학기술정보통신부,정보통신산업진흥원
CERT-BIZ-0028,ERP 인사 정보관리사 2급,경영경제,경영ERP,"ERP 인사 정보관리사 2급 보유자는 ERP, 인사관리, 급여, 근태, HRM 데이터를 기준으로 구매, 생산, 회계, 인사 원천자료를 추적해 원가 산정 입력값의 신뢰성을 검증할 수 있다.",한국생산성본부 ERP정보관리사 중 인사 분야 이론과 ERP 실무 능력을 평가하는 국가공인 민간자격이다.,"ERP 인사 모듈을 활용해 인사기록, 근태, 급여 기초자료와 인적자원관리 실무를 처리할 수 있다.",2,민간(국가),자격증,기타,"ERP, 인사관리, 급여, 근태, HRM",과학기술정보통신부,한국생산성본부
CERT-BIZ-0029,ERP 회계 정보관리사 2급,경영경제,경영ERP,"ERP 회계 정보관리사 2급 보유자는 ERP, 회계관리, 전표, 결산, 재무정보 데이터를 기준으로 구매, 생산, 회계, 인사 원천자료를 추적해 원가 산정 입력값의 신뢰성을 검증할 수 있다.",ERP 시스템 기반 회계관리 이론과 실무 처리 능력을 평가하는 한국생산성본부 국가공인 민간자격이다.,"ERP 회계 모듈을 활용해 회계전표, 결산 기초, 재무정보 조회와 회계 자료 관리를 수행할 수 있다.",2,민간(국가),자격증,기타,"ERP, 회계관리, 전표, 결산, 재무정보",과학기술정보통신부,한국생산성본부
CERT-LAW-0003,갈등조정전문가 1급,법률행정,법률분쟁,"갈등조정전문가 1급 보유자는 갈등조정, 협상, 중재, 공공갈등, 분쟁해결 관점에서 계약, 법률위험, 분쟁 가능성이 원가와 수수료 산정에 미치는 영향을 검토할 수 있다.","갈등관리 이론, 협상, 중재·조정 절차와 사례 분석 역량을 검정하는 민간 자격이다.","조직·공공·지역 갈등 진단, 당사자 면담, 조정 회의 운영, 합의안 도출 지원 업무를 수행할 수 있다.",3,민간,자격증,전문자격사,"갈등조정, 협상, 중재, 공공갈등, 분쟁해결",교육부,한국갈등조정중재그룹
CERT-SAF-0008,건설안전기사,안전환경,안전방재,"건설안전기사 보유자는 건설안전, 안전관리자, 위험성평가, 산업재해, 현장점검 위험요인을 반영해 안전관리비, 예방조치, 진단비, 대응계획 비용의 적정성을 검토할 수 있다.","건설공사 안전관리, 산업안전, 시공 안전기술 능력을 평가하는 기사 등급 국가기술자격이다.","건설현장 위험성 평가, 안전교육, 안전시설 점검, 산업재해 예방관리 업무를 수행할 수 있다.",4,국가기술자격,자격증,기사,"건설안전, 안전관리자, 위험성평가, 산업재해, 현장점검",고용노동부,한국산업인력공단
CERT-SAF-0002,건설안전기술사,안전환경,안전방재,"건설안전기술사 보유자는 기술사, 건설안전, 안전진단, 재해예방, 기술자문 위험요인을 반영해 안전관리비, 예방조치, 진단비, 대응계획 비용의 적정성을 검토할 수 있다.",건설안전 분야 최고 수준의 전문지식과 실무경험을 평가하는 기술사 국가기술자격이다.,"건설안전 기술자문, 안전진단, 재해예방계획 수립, 고난도 현장 안전관리 총괄 업무를 수행할 수 있다.",5,기술사,자격증,기술사,"기술사, 건설안전, 안전진단, 재해예방, 기술자문",고용노동부,한국산업인력공단
CERT-CON-0003,건축기사,건설부동산,건설건축,"건축기사 보유자는 건축, 시공관리, 건축구조, 건축법규, 현장관리 전문성으로 공사 물량, 공법, 시공조건, 도면 근거를 확인해 공사원가 산정과 검증을 수행할 수 있다.","건축 계획, 구조, 시공, 설비, 법규 등 건축공학 실무 능력을 평가하는 기사 등급 국가기술자격이다.","건축설계 검토, 시공관리, 공정·품질·구조 기초 검토, 건축 현장관리 업무를 수행할 수 있다.",4,국가기술자격,자격증,기사,"건축, 시공관리, 건축구조, 건축법규, 현장관리",국토교통부,한국산업인력공단
CERT-CON-0001,건축시공기술사,건설부동산,건설건축,"건축시공기술사 보유자는 건축시공, 기술사, 공정관리, 품질관리, 공법검토 전문성으로 공사 물량, 공법, 시공조건, 도면 근거를 확인해 공사원가 산정과 검증을 수행할 수 있다.",건축시공 분야의 고급 실무경험과 전문기술 판단 능력을 평가하는 기술사 국가기술자격이다.,"건축 시공계획 수립, 공법 검토, 품질·공정·원가·안전관리 기술자문 업무를 수행할 수 있다.",5,국가기술자격,자격증,기술사,"건축시공, 기술사, 공정관리, 품질관리, 공법검토",국토교통부,한국산업인력공단
CERT-BIZ-0003,경영지도사,경영경제,경영컨설팅,"경영지도사 보유자는 경영컨설팅, 중소기업, 마케팅, 재무관리, 인사관리 분석으로 조직, 프로세스, 사업 운영 효율을 진단해 적정 투입인력과 관리비 산정 근거를 검토할 수 있다.",중소기업 경영 문제를 지도·자문할 전문성을 검정하는 국가전문자격이다.,"중소기업 경영 진단, 인사·재무·생산·마케팅 컨설팅, 개선 과제 수립 업무를 수행할 수 있다.",5,전문자격,등록증,전문자격사,"경영컨설팅, 중소기업, 마케팅, 재무관리, 인사관리",중소벤처기업부,한국산업인력공단/중소벤처기업부
CERT-LAB-0001,공인노무사,노무사회,노무인사,"공인노무사 보유자는 노동법, 노무관리, 임금, 노사분쟁, 사회보험 기준으로 인건비, 채용비, 노무 리스크, 인력 투입계획이 원가에 적정하게 반영됐는지 검토할 수 있다.","노동법, 인사노무관리, 사회보험 등 노동관계 전문성을 평가하는 국가전문자격이다.","노동관계 법률 자문, 임금·인사제도 검토, 노동사건 대리, 노사분쟁 조정 업무를 수행할 수 있다.",5,전문자격,자격증,전문자격사,"노동법, 노무관리, 임금, 노사분쟁, 사회보험",고용노동부,한국산업인력공단
CERT-BIZ-0005,공인원가분석사,경영경제,원가계약,"공인원가분석사 보유자는 원가계산, 예정가격, 계약금액, 공사비, 사후정산 지식을 활용해 예정가격, 계약금액, 직접비와 간접비 산출 근거의 적정성과 과다 계상 여부를 검증할 수 있다.","원가계산 기준, 회계·계약·공사비 분석 능력을 검정하는 원가분석 분야 민간 자격이다.","제조·공사·용역 원가계산, 예정가격 검토, 원가분석 보고서 작성 업무를 수행할 수 있다.",4,민간(국가),등록증,전문자격사,"원가계산, 예정가격, 계약금액, 공사비, 사후정산",기획재정부,한국원가관리협회
CERT-CON-0004,공인중개사,건설부동산,부동산,"공인중개사 보유자는 부동산중개, 임대차, 권리분석, 공인중개사법, 거래신고 자료를 활용해 부동산 거래, 임대, 권리관계 비용이 원가와 수수료 산정에 적정한지 판단할 수 있다.","부동산학개론, 민법, 중개사법, 공법, 공시·세법 지식을 평가하는 국가전문자격이다.","부동산 매매·임대차 중개, 권리관계 확인, 중개계약 설명과 거래 신고 지원 업무를 수행할 수 있다.",4,전문자격,자격증,전문자격사,"부동산중개, 임대차, 권리분석, 공인중개사법, 거래신고",국토교통부,한국산업인력공단
CERT-BIZ-0001,공인회계사,경영경제,회계세무,"공인회계사 보유자는 CPA, 회계감사, 재무제표, 내부통제, 세무자문 관점에서 증빙, 회계처리, 세금 반영 내역을 대조해 원가 산정의 누락과 중복 계상을 점검할 수 있다.",회계·감사·세법·재무관리 등 회계전문가 역량을 검정하는 국가전문자격이다.,"외부감사, 회계감사, 재무제표 검토, 세무·재무 자문과 내부통제 평가 업무를 수행할 수 있다.",5,전문자격,등록증,전문자격사,"CPA, 회계감사, 재무제표, 내부통제, 세무자문",금융위원회,금융감독원/한국공인회계사회
CERT-BIZ-0008,국제경영컨설턴트(CMC),경영경제,경영컨설팅,"국제경영컨설턴트(CMC) 보유자는 CMC, 경영컨설팅, 전략, 조직개선, 컨설팅윤리 분석으로 조직, 프로세스, 사업 운영 효율을 진단해 적정 투입인력과 관리비 산정 근거를 검토할 수 있다.","국제 컨설팅 표준과 윤리, 컨설팅 수행 역량을 확인하는 경영컨설턴트 인증 성격의 자격이다.","경영 진단, 전략 수립, 조직·프로세스 개선, 컨설팅 프로젝트 수행 업무를 수행할 수 있다.",4,민간,자격증,기타,"CMC, 경영컨설팅, 전략, 조직개선, 컨설팅윤리",해당 없음(국제/민간자격),한국경영기술지도사회
CERT-ENG-0003,금속기사,공학제조,제조소재,"금속기사 보유자는 금속재료, 열처리, 재료시험, 품질관리, 소재공정 특성을 반영해 소재 단가, 가공공정, 시험분석 비용의 원가 산정 적정성을 검증할 수 있다.","금속재료, 제련·가공, 열처리와 시험분석 능력을 평가하는 기사 등급 국가기술자격이다.","금속재료 시험·분석, 열처리, 품질관리, 금속 제조공정 개선 업무를 수행할 수 있다.",4,국가기술자격,자격증,기사,"금속재료, 열처리, 재료시험, 품질관리, 소재공정",산업통상자원부,한국산업인력공단
CERT-IT-0004,기능점수측정전문가(K-CFPS),IT데이터,IT소프트웨어,"기능점수측정전문가(K-CFPS) 보유자는 기능점수, SW원가, 사업비산정, FP, 소프트웨어측정 기준으로 개발공수, 기능범위, 유지보수 항목을 검토해 소프트웨어 원가 산정의 적정성을 판단할 수 있다.",기능점수 방식의 소프트웨어 규모·비용 산정 지식과 측정 실무 능력을 검정하는 민간 자격이다.,"소프트웨어 규모 산정, 기능점수 측정, 개발비 산정 근거 검토와 사업비 분석 업무를 수행할 수 있다.",4,민간,자격증,기타,"기능점수, SW원가, 사업비산정, FP, 소프트웨어측정",과학기술정보통신부,한국소프트웨어측정원
CERT-BIZ-0012,기술거래사,경영경제,기술사업화지식재산,"기술거래사 보유자는 기술이전, 기술거래, 사업화, 지식재산, 기술평가 관점에서 기술가치, 사업성, 권리 범위를 검토해 기술 관련 원가와 가치 산정 근거를 보강할 수 있다.",기술의 이전 및 사업화 촉진에 필요한 거래·평가·계약 실무 역량을 인정하는 전문 자격이다.,"기술이전 중개, 기술가치 검토, 거래 조건 협의, 기술사업화 지원 업무를 수행할 수 있다.",4,민간,등록증,전문자격사,"기술이전, 기술거래, 사업화, 지식재산, 기술평가",산업통상자원부,(사)기술거래사회
CERT-IT-0009,데이터 사이언티스트 능력 인증(DSAC),IT데이터,데이터AI,"데이터 사이언티스트 능력 인증(DSAC) 보유자는 데이터분석, 머신러닝, 통계, Python, 시각화 업무를 이해해 데이터 수집, 정제, 모델링, 분석 인력 투입 원가의 적정성을 검토할 수 있다.","데이터 분석과 과학적 문제해결, 모델링 실무 역량을 평가하는 한국생산성본부 민간 자격이다.","데이터 수집·전처리, 통계분석, 머신러닝 모델링, 분석 결과 시각화 업무를 수행할 수 있다.",3,민간,자격증,기타,"데이터분석, 머신러닝, 통계, Python, 시각화",과학기술정보통신부,한국생산성본부
CERT-BIZ-0018,ERP 회계 컨설턴트,경영경제,경영ERP,"ERP 회계 컨설턴트 보유자는 ERP, 회계컨설팅, 결산, 전표, 프로세스개선 데이터를 기준으로 구매, 생산, 회계, 인사 원천자료를 추적해 원가 산정 입력값의 신뢰성을 검증할 수 있다.",회계 업무 이해를 바탕으로 ERP 회계 시스템 도입·운영 컨설팅 능력을 확인하는 민간 자격이다.,"ERP 회계 모듈 설계, 회계 프로세스 개선, 계정·전표·결산 흐름 컨설팅 업무를 수행할 수 있다.",3,민간,자격증,기타,"ERP, 회계컨설팅, 결산, 전표, 프로세스개선",금융위원회,한국공인회계사회
CERT-BIZ-0020,물류관리사,경영경제,물류유통,"물류관리사 보유자는 물류관리, 운송, 보관, 국제물류, 공급망 흐름을 반영해 운송, 보관, 하역, 유통비 산정 항목의 현실성과 과다 반영 여부를 검증할 수 있다.","물류관리론, 화물운송, 국제물류, 보관하역, 물류법규를 평가하는 국가전문자격이다.","운송·보관·하역·포장·정보 등 물류 전 과정의 계획, 운영, 개선 업무를 수행할 수 있다.",3,전문자격,자격증,기타,"물류관리, 운송, 보관, 국제물류, 공급망",국토교통부,한국산업인력공단
CERT-BIZ-0007,가맹거래사,경영경제,경영계약,"가맹거래사 보유자는 프랜차이즈, 가맹계약, 정보공개서, 공정거래, 분쟁예방 조건을 검토해 수수료, 계약의무, 거래 구조가 원가에 미치는 영향을 산정하고 검증할 수 있다.",가맹사업거래 공정화 법령과 가맹계약·상담 실무를 평가하는 국가전문자격이다.,"프랜차이즈 정보공개서 검토, 가맹계약 자문, 분쟁 예방과 가맹사업 컨설팅 업무를 수행할 수 있다.",4,전문자격,자격증,기타,"프랜차이즈, 가맹계약, 정보공개서, 공정거래, 분쟁예방",공정거래위원회,한국산업인력공단
CERT-MED-0001,간호사,보건복지,보건의료,"간호사 보유자는 간호, 보건의료, 환자관리, 국가시험, 면허 업무 특성을 반영해 의료인력, 위생관리, 보건서비스 원가 산정의 필요 인력과 절차를 검증할 수 있다.",간호학 교육과 국가시험을 거쳐 보건복지부 장관 면허를 받는 보건의료인 국가면허이다.,"환자 간호, 투약·처치 보조, 건강상태 관찰, 간호기록, 보건교육 업무를 수행할 수 있다.",5,타기관,면허증,기타,"간호, 보건의료, 환자관리, 국가시험, 면허",보건복지부,보건복지부
CERT-MED-0003,보험심사평가사1급,보건복지,보건보험,"보험심사평가사1급 보유자는 보험심사, 진료비청구, 건강보험, 원무, 요양급여 기준으로 보험청구, 진료비, 심사자료를 대조해 보건의료 관련 비용 산정의 적정성을 검토할 수 있다.","요양급여 기준, 보험청구, 진료비 심사평가 실무를 다루는 민간 자격이다.","건강보험 청구자료 검토, 진료비 심사, 보험 기준 적용, 병원 원무·심사 업무를 수행할 수 있다.",3,민간,자격증,기타,"보험심사, 진료비청구, 건강보험, 원무, 요양급여",보건복지부,한국자격검정평가진흥원
CERT-MED-0004,보험심사평가사2급,보건복지,보건보험,"보험심사평가사2급 보유자는 보험청구, 의료행정, 진료비, 심사평가, 원무 기준으로 보험청구, 진료비, 심사자료를 대조해 보건의료 관련 비용 산정의 적정성을 검토할 수 있다.",보험심사평가의 기본 이론과 의료행정 실무를 평가하는 민간 자격이다.,"기초 보험청구 자료 확인, 진료비 산정 보조, 심사평가 행정 지원 업무를 수행할 수 있다.",2,민간,자격증,기타,"보험청구, 의료행정, 진료비, 심사평가, 원무",보건복지부,(사)한국의료행정실무협회
CERT-LAB-0002,사회보험사1급,노무사회,노무보험,"사회보험사1급 보유자는 4대보험, 사회보험, 인사노무, 보험료, 신고업무 지식을 활용해 4대보험, 보험료, 보수총액 반영 여부를 검토해 인건비성 원가를 검증할 수 있다.","국민연금, 건강보험, 고용보험, 산재보험 제도와 실무 처리 능력을 평가하는 민간 자격이다.","4대보험 적용·취득상실·보수총액 신고, 보험료 검토, 사회보험 상담 업무를 수행할 수 있다.",3,민간,자격증,기타,"4대보험, 사회보험, 인사노무, 보험료, 신고업무",보건복지부,사회보험사협회
CERT-LAB-0004,사회보험사2급,노무사회,노무보험,"사회보험사2급 보유자는 4대보험, 자격신고, 보험행정, 인사총무, 사회보험 지식을 활용해 4대보험, 보험료, 보수총액 반영 여부를 검토해 인건비성 원가를 검증할 수 있다.",사회보험 제도와 기본 행정처리 실무를 평가하는 민간 자격이다.,"4대보험 기초 신고, 자격 변동 관리, 보험 관련 행정 보조 업무를 수행할 수 있다.",2,민간,자격증,기타,"4대보험, 자격신고, 보험행정, 인사총무, 사회보험",보건복지부,사회보험사협회
CERT-SAF-0009,산업안전기사,안전환경,안전방재,"산업안전기사 보유자는 산업안전, 안전관리자, 위험성평가, 재해예방, 안전교육 위험요인을 반영해 안전관리비, 예방조치, 진단비, 대응계획 비용의 적정성을 검토할 수 있다.","산업안전관리, 인간공학, 기계·전기·화공·건설 안전 지식을 평가하는 기사 등급 국가기술자격이다.","제조·서비스 사업장 안전관리, 위험성평가, 안전교육, 재해예방 계획 수립 업무를 수행할 수 있다.",4,국가기술자격,자격증,기사,"산업안전, 안전관리자, 위험성평가, 재해예방, 안전교육",고용노동부,한국산업인력공단
CERT-EDU-0001,산업카운슬러1급,교육사무문화,상담교육,"산업카운슬러1급 보유자는 산업상담, 직장상담, 스트레스관리, 조직갈등, 상담기법 경험을 활용해 교육과 상담 프로그램의 강사비, 운영비, 실습비 산정 근거를 검증할 수 있다.","산업현장 상담 이론, 상담기법, 조직 내 심리 지원 역량을 평가하는 민간 자격이다.","직장인 심리상담, 조직 적응 상담, 갈등·스트레스 완화 프로그램 운영 업무를 수행할 수 있다.",3,민간,자격증,기타,"산업상담, 직장상담, 스트레스관리, 조직갈등, 상담기법",고용노동부,한국산업카운슬러협회
CERT-BIZ-0002,세무사,경영경제,회계세무,"세무사 보유자는 세무대리, 세법, 세무조정, 신고대리, 조세불복 관점에서 증빙, 회계처리, 세금 반영 내역을 대조해 원가 산정의 누락과 중복 계상을 점검할 수 있다.","세법, 회계학, 세무실무 전문성을 평가해 세무대리 권한을 부여하는 국가전문자격이다.","세무대리, 세금 신고, 조세 불복 지원, 세무조정, 세무 컨설팅 업무를 수행할 수 있다.",5,전문자격,자격증,전문자격사,"세무대리, 세법, 세무조정, 신고대리, 조세불복",국세청,한국산업인력공단
CERT-SAF-0010,"소방기술자 (기계 특급, 전기 고급)",안전환경,소방안전,"소방기술자 (기계 특급, 전기 고급) 보유자는 소방시설, 기계, 전기, 특급기술자, 감리 기준으로 소방설비 설계, 시공, 점검, 감리 비용의 산출 근거와 과다 계상 여부를 검증할 수 있다.",소방시설공사업 관련 경력과 자격을 기준으로 인정되는 소방기술자 등급이다.,소방시설 설계·시공·감리·점검 현장에서 기계·전기 분야 기술관리 업무를 수행할 수 있다.,4,민간,자격증,기타,"소방시설, 기계, 전기, 특급기술자, 감리",소방청,한국소방시설협회
CERT-SAF-0011,소방설비기사(기계분야),안전환경,소방안전,"소방설비기사(기계분야) 보유자는 소방설비, 기계분야, 소화설비, 제연설비, 소방점검 기준으로 소방설비 설계, 시공, 점검, 감리 비용의 산출 근거와 과다 계상 여부를 검증할 수 있다.","소방원론, 유체역학, 소방기계시설 설계·시공 능력을 평가하는 기사 등급 국가기술자격이다.","소화설비, 제연·피난 설비 등 기계계 소방시설의 설계·시공·점검 업무를 수행할 수 있다.",4,국가기술자격,자격증,기사,"소방설비, 기계분야, 소화설비, 제연설비, 소방점검",소방청,한국산업인력공단
CERT-MED-0005,사회복지사2급,보건복지,복지상담,"사회복지사2급 보유자는 사회복지, 사례관리, 상담, 복지프로그램, 현장실습 업무를 이해해 상담, 사례관리, 복지프로그램 운영비와 인력 투입 산정 근거를 검토할 수 있다.",사회복지 관련 교과목과 현장실습 이수로 취득하는 사회복지 전문 자격이다.,"사회복지 대상자 상담, 사례관리, 프로그램 기획·운영, 복지기관 행정 업무를 수행할 수 있다.",2,민간,자격증,기타,"사회복지, 사례관리, 상담, 복지프로그램, 현장실습",보건복지부,한국사회복지사협회
